"","PointID","Round","n","count","percent_grazed"
"269","BIBU306_15","2",79,20,25.3164556962025
"270","BIBU307_15","2",75,9,12
"271","BRBE075_15","2",45,4,8.88888888888889
"272","BRBE075_16","2",76,2,2.63157894736842
"273","BRBE075_17","2",61,7,11.4754098360656
"274","BRBE075_18","2",66,0,0
"275","BRBE076_15","2",44,7,15.9090909090909
"276","BRBE076_16","2",68,2,2.94117647058824
"277","BRBE076_17","2",71,22,30.9859154929577
"278","BRBE076_18","2",69,0,0
"279","BRBE077_15","2",52,0,0
"280","BRBE078_15","2",49,4,8.16326530612245
"281","BRBE078_16","2",55,0,0
"282","BRBE078_17","2",58,16,27.5862068965517
"283","BRBE078_18","2",57,0,0
"284","BRBE079_15","2",43,3,6.97674418604651
"285","BRBE079_16","2",58,0,0
"286","BRBE079_17","2",55,10,18.1818181818182
"287","BRBE079_18","2",57,0,0
"288","BRBE080_15","2",42,0,0
"289","BRBE080_16","2",40,1,2.5
"290","BRBE080_17","2",41,0,0
"291","BRBE080_18","2",42,0,0
"292","BRBE081_15","2",38,0,0
"293","BRBE081_16","2",65,0,0
"294","BRBE081_17","2",62,5,8.06451612903226
"295","BRBE081_18","2",55,0,0
"296","BRBE082_15","2",43,3,6.97674418604651
"297","BRBE082_16","2",58,3,5.17241379310345
"298","BRBE082_17","2",55,5,9.09090909090909
"299","BRBE082_18","2",60,1,1.66666666666667
"300","BRBE083_15","2",53,0,0
"301","BRBE083_16","2",85,3,3.52941176470588
"302","BRBE083_17","2",78,12,15.3846153846154
"303","BRBE083_18","2",86,0,0
"304","BRBE084_15","2",45,9,20
"305","BRBE084_16","2",64,4,6.25
"306","BRBE084_17","2",67,15,22.3880597014925
"307","BRBE084_18","2",67,1,1.49253731343284
"308","BRBE085_16","2",57,1,1.75438596491228
"309","BRBE085_17","2",66,10,15.1515151515152
"310","BRBE085_18","2",70,0,0
"311","BRBE086_15","2",53,0,0
"312","BRBE086_16","2",42,2,4.76190476190476
"313","BRBE086_17","2",51,10,19.6078431372549
"314","BRBE086_18","2",50,0,0
"315","BRBE087_15","2",54,0,0
"316","BRBE087_16","2",35,2,5.71428571428571
"317","BRBE087_17","2",36,0,0
"318","BRBE087_18","2",72,5,6.94444444444444
"319","BRBE088_15","2",55,0,0
"320","BRBE088_16","2",56,0,0
"321","BRBE088_17","2",55,10,18.1818181818182
"322","BRBE088_18","2",58,0,0
"323","BRBE089_15","2",56,0,0
"324","BRBE089_16","2",54,2,3.7037037037037
"325","BRBE089_17","2",55,10,18.1818181818182
"326","BRBE089_18","2",57,0,0
"327","BRBE090_15","2",48,0,0
"328","BRBE090_16","2",74,0,0
"329","BRBE090_17","2",72,20,27.7777777777778
"330","BRBE090_18","2",74,0,0
"331","BRBE091_15","2",55,0,0
"332","BRBE091_16","2",58,0,0
"333","BRBE091_17","2",56,14,25
"334","BRBE091_18","2",60,0,0
"335","BRBE092_15","2",52,3,5.76923076923077
"336","BRBE092_16","2",59,1,1.69491525423729
"337","BRBE092_18","2",60,0,0
"338","BRBE093_15","2",52,0,0
"339","BRBE093_16","2",73,0,0
"340","BRBE093_17","2",70,18,25.7142857142857
"341","BRBE093_18","2",61,1,1.63934426229508
"342","BRBE094_15","2",46,6,13.0434782608696
"343","BRBE094_16","2",72,1,1.38888888888889
"344","BRBE094_17","2",74,19,25.6756756756757
"345","BRBE094_18","2",70,9,12.8571428571429
"346","BRBE095_15","2",43,3,6.97674418604651
"347","BRBE095_16","2",46,1,2.17391304347826
"348","BRBE095_17","2",70,1,1.42857142857143
"349","BRBE095_18","2",68,0,0
"350","BRBE100_15","2",31,4,12.9032258064516
"351","BRBE100_16","2",59,2,3.38983050847458
"352","BRBE100_17","2",58,3,5.17241379310345
"353","BRBE100_18","2",64,0,0
"354","BRBE101_15","2",70,14,20
